PORT-ROYAL;ST-OUEN-L'AUMONE;;;
DENFERT-ROCHEREAU;ST-OUEN;;;
CITEUNIVERSITAIRE;ST-NOM-LA-BRETECHE-FORET-DE-MARLY;;;
GENTILLY;ST-MICHEL-SUR-ORGE;;;
LAPLACE;ST-MICHEL-NOTRE-DAME;;;
ARCUEIL-CACHAN;ST-MAUR-CRETEIL;;;
BAGNEUX(PONTROYAL);ST-MARTIN-D'ETAMPES;;;
BOURG-LA-REINE;ST-MAMMES;;;
PARC-DE-SCEAUX;ST-LEU-LA-FORET;;;
LACROIX-DE-BERNY;ST-GRATIEN;;;
ANTONY;ST-GERMAING.C.;;;
FONTAINE-MICHALON;ST-GERMAIN-EN-LAYE;;;
LESBACONNETS;ST-GERMAIN-BEL-AIR-FOURQUEUX;;;
MASSY-VERRIERES;ST-FARGEAU;;;
MASSY-PALAISEAU;ST-DENIS;;;
PALAISEAU;ST-CYR;;;
PALAISEAU-VILLEBON;ST-CLOUD;;;
LOZERE;ST-CHERON;;;
LEGUICHET;SOUPPES-CHATEAU-LANDON;;;
ORSAY-VILLE;SEVRESR.G;;;
BURES-SUR-YVETTE;SEVRES-VILLE-D'AVRAY;;;
LAHACQUINIERE;SEVRAN-LIVRY;;;
GIF-SUR-YVETTE;SEVRAN-BEAUDOTTES;;;
COURCELLE-SUR-YVETTE;SEUGY;;;
ST-REMY-LES-CHEVREUSE;SERMAISE;;;
SCEAUX;SCEAUX;;;
FONTENAY-AUX-ROSES;SAVIGNY-SUR-ORGE;;;
ROBINSON;SAVIGNY-LE-TEMPLE-NANDY;;;
PONTOISE;SARTROUVILLE;;;
EPINAY-SUR-SEINE;SARCELLES-ST-BRICE;;;
LESGRESILLONS;SANTEUIL-LE-PERCHAY;;;
JAVEL;SANNOIS;;;
VERSAILLESR.G;RUNGIS-LA-FRATERNELLE;;;
PETIT-JOUY-LES-LOGES;RUEIL-MALMAISON;;;
JOUY-EN-JOSAS;ROSNY-SUR-SEINE;;;
CHEMIN-D'ANTONY;ROSNY-SOUS-BOIS;;;
ORLYVILLE;ROSNY-BOIS-PERRIER;;;
CHOISY-LE-ROI;ROISSY-EN-BRIE;;;
IGNY;ROBINSON;;;
LONGJUMEAU;RIS-ORANGIS;;;
CHILLY-MAZARIN;RAMBOUILLET;;;
ST-CHERON;PUTEAUX;;;
DOURDAN;PROVINS;;;
CHAMARANDE;PRESLES-COURCELLES;;;
ETAMPES;PORTVILLEZ;;;
ST-GRATIEN;PORTEDECLICHY;;;
GARED'AUSTERLITZ;PORT-ROYAL;;;
PEREIRE-LEVALLOIS;PORCHEFONTAINE;;;
CHAVILLE-VELIZY;PONTOISE;;;
MEUDON-VAL-FLEURY;PONTHIERRY-PRINGY;;;
IVRY-SUR-SEINE;PONTDEL'ALMA;;;
LESSAULES;PONT-PETIT;;;
RUNGIS-LA-FRATERNELLE;PONT-DE-RUNGIS-AEROPORTD'ORLY;;;
EPINAY-SUR-ORGE;PONT-CARDINET;;;
BRETIGNY;POISSY;;;
MAROLLES-EN-HUREPOIX;PLAISIR-LES-CLAYES;;;
BREUILLET-BRUYERES-LE-CHATEL;PLAISIR-GRIGNON;;;
GENNEVILLIERS;PIERRELAYE;;;
PORCHEFONTAINE;PIERREFITTES-STAINS;;;
ISSY-VAL-DE-SEINE;PETIT-VAUX;;;
ABLON;PETIT-JOUY-LES-LOGES;;;
ATHIS-MONS;PERSAN-BEAUMONT;;;
GRAVIGNY-BALIZY;PEREIRE-LEVALLOIS;;;
ST-MICHEL-SUR-ORGE;PARISNORD;;;
ARPAJON;PARISMONTPARNASSE;;;
EGLY;PARISLYON;;;
LARDY;PARISEST;;;
PONTDEL'ALMA;PARC-DES-EXPOSITIONS;;;
PORTEDECLICHY;PARC-DE-SCEAUX;;;
AV.PDTKENNEDY-MAISONDERADIOFRANCE;PANTIN;;;
STE-GENEVIEVE-DES-BOIS;PALAISEAU-VILLEBON;;;
BREUILLET-VILLAGE;PALAISEAU;;;
DOURDAN-LA-FORET;OZOIR-LA-FERRIERE;;;
SERMAISE;OSNY;;;
BOURAY;ORSAY-VILLE;;;
INVALIDES;ORLYVILLE;;;
ST-OUEN;ORGERUS-BEHOUST;;;
VITRY-SUR-SEINE;ORANGIS-BOIS-DE-L'EPINE;;;
LESARDOINES;NOISY-LE-SEC;;;
PONT-DE-RUNGIS-AEROPORTD'ORLY;NOISY-LE-ROI;;;
VILLENEUVE-LE-ROI;NOISY-LE-GRANDMONT-D'EST;;;
BIBLIOTHEQUEFRANCOISMITTERAND;NOISY-CHAMPS;;;
BDVICTOR-PONTDUGARIGLIANO;NOISIEL;;;
VAUBOYEN;NOINTEL-MOURS;;;
ISSY;NOGENT-SUR-MARNE;;;
BIEVRES;NOGENT-LE-PERREUX;;;
SAVIGNY-SUR-ORGE;NEZEL-AULNAY;;;
PETIT-VAUX;NEUVILLE-UNIVERSITE;;;
ST-MARTIN-D'ETAMPES;NEUILLY-PORTEMAILLOT;;;
BOULAINVILLIERS;NEUILLY-PLAISANCE;;;
AV.FOCH;NEMOURS-ST-PIERRE;;;
AV.HENRIMARTIN;NATION;;;
LANORVILLE-ST-GERMAIN-LES-ARPAJON;NANTEUIL-SAACY;;;
ETRECHY;NANTERRE-VILLE;;;
MUSEED'ORSAY;NANTERRE-UNIVERSITE;;;
CHAMP-DE-MARSTOUR-EIFFEL;NANTERRE-PREFECTURE;;;
NEUILLY-PORTEMAILLOT;NANGIS;;;
JUVISY;MUSEED'ORSAY;;;
MONTIGNY-BEAUCHAMP;MOUROUX;;;
CERNAY;MOULIN-GALANT;;;
ST-OUEN-L'AUMONE;MORTCERF;;;
ST-OUEN-L'AUMONE-LIESSE;MORMANT;;;
PIERRELAYE;MORET-VENEUX-LES-SABLONS;;;
FRANCONVILLE-PLESSIS-BOUCHARD;MONTSOULT-MAFFLIERS;;;
ERMONT-EAUBONNE;MONTRY-CONDE;;;
VIROFLAYR.G;MONTREUIL;;;
VERSAILLES-CHANTIERS;MONTIGNY-SUR-LOING;;;
ST-CYR;MONTIGNY-BEAUCHAMP;;;
ST-QUENTIN-EN-YVELINES;MONTGEROULT-COURCELLES;;;
VILLENEUVE-PRAIRIE;MONTGERON-CROSNE;;;
VILLENEUVE-ST-GEORGES;MONTEREAU;;;
VIGNEUX-SUR-SEINE;MONFORT-L'AMAURY-MERE;;;
RIS-ORANGIS;MITRY-CLAYE;;;
LEPLESSIS-CHENET;MEULAN-HARDRICOURT;;;
BOUSSY-ST-ANTOINE;MEUDON-VAL-FLEURY;;;
CESSON;MEUDON;;;
BOISSISE-LE-ROI;MERY-SUR-OISE;;;
CORBEIL-ESSONNES;MERIEL;;;
BALLANCOURT;MENNECY;;;
LAFERTE-ALAIS;MELUN;;;
BOIGNEVILLE;MEAUX;;;
LESNOUES;MAURECOURT;;;
VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;MAULE;;;
GARGES-SARCELLES;MASSY-VERRIERES;;;
STADE-DE-FRANCE-SAINT-DENIS;MASSY-PALAISEAU;;;
VIRY-CHATILLON;MAROLLES-EN-HUREPOIX;;;
SAVIGNY-LE-TEMPLE-NANDY;MARNE-LA-VALLEECHESSY;;;
LEMEE;MARLY-LE-ROI;;;
PONTHIERRY-PRINGY;MARLES-EN-BRIE;;;
EVRY;MAREIL-SUR-MAULDRE;;;
LEBRAS-DE-FER;MAREIL-MARLY;;;
SURVILLIERS-FOSSES;MANTES-STATION;;;
LOUVRES;MANTES-LA-JOLIE;;;
MAISONS-ALFORT-ALFORTVILLE;MAISSE;;;
COUDRAY-MONTCEAUX;MAISONS-LAFFITTE;;;
BOUTIGNY;MAISONS-ALFORT-ALFORTVILLE;;;
MAISSE;MAGENTA;;;
VILLENEUVE-TRIAGE;LUZARCHES;;;
MONTGERON-CROSNE;LUXEMBOURG;;;
COMBS-LA-VILLE-QUINCY;LOZERE;;;
LIEUSAINT-MOISSY;LOUVRES;;;
ST-FARGEAU;LOUVECIENNES;;;
MOULIN-GALANT;LONGUEVILLE;;;
GOUSSAINVILLE;LONGJUMEAU;;;
PIERREFITTES-STAINS;LOGNES;;;
LEVERT-DE-MAISONS;LIZY-SUR-OURCQ;;;
YERRES;LIVRY-SUR-SEINE;;;
BRUNOY;LIMAY;;;
VOSVES;LIEUSAINT-MOISSY;;;
GRAND-BOURG;LEVESINET-LE-PECQ;;;
ORANGIS-BOIS-DE-L'EPINE;LEVESINET-CENTRE;;;
ESSONNES-ROBINSON;LEVERT-DE-MAISONS;;;
VILLABE;LESYVRISNOISY-LE-GRAND;;;
MENNECY;LESVALLEES;;;
EVRY-COURCOURONNES;LESTADE;;;
GRIGNY-CENTRE;LESSAULES;;;
BUNO-GIRONVILLE;LESNOUES;;;
ST-DENIS;LESMUREAUX;;;
MELUN;LESGRESILLONS;;;
ROSNY-BOIS-PERRIER;LESCLAIRIERES-DE-VERNEUIL;;;
ROSNY-SOUS-BOIS;LESCHAMPS-FORTS;;;
PANTIN;LESBOULLEREAUX-CHAMPIGNY;;;
EMERAINVILLE-PONTAULT-COMBAULT;LESBACONNETS;;;
OZOIR-LA-FERRIERE;LESARDOINES;;;
LESBOULLEREAUX-CHAMPIGNY;LES-ESSARTS-LE-ROI;;;
GAGNY;LERAINCY-VILLEMOMBLE-MONTFERMEIL;;;
LESYVRISNOISY-LE-GRAND;LEPLESSIS-CHENET;;;
CHENAY-GAGNY;LEPERRAY;;;
NOISY-LE-SEC;LEPARC-ST-MAUR;;;
ROISSY-EN-BRIE;LEMEE;;;
NOGENT-LE-PERREUX;LEGUICHET;;;
VILLIERS-SUR-MARNE-PLESSIS-TREVISE;LEBRAS-DE-FER;;;
HAUSSMANNST-LAZARE;LEBOURGET;;;
LERAINCY-VILLEMOMBLE-MONTFERMEIL;LAVERRIERE;;;
BONDY;LAVARENNE-CHENNEVIERES;;;
MAGENTA;LARDY;;;
CHELLES-GOURNAY;LAPLACE;;;
TOURNAN;LANORVILLE-ST-GERMAIN-LES-ARPAJON;;;
GRETZ-ARMAINVILLIERS;LAHACQUINIERE;;;
PERSAN-BEAUMONT;LAGRANDEPAROISSE;;;
PRESLES-COURCELLES;LAGNY-THORIGNY;;;
BELLOY-ST-MARTIN;LAGARENNE-COLOMBES;;;
VALMONDOIS;LAFRETTE-MONTIGNY;;;
AUVERS-SUR-OISE;LAFERTE-SOUS-JOUARRE;;;
FREPILLON;LAFERTE-ALAIS;;;
DEUIL-MONTMAGNY;LADEFENSE;;;
ENGHIEN-LES-BAINS;LACROIX-DE-BERNY;;;
CHAMPAGNE-SUR-OISE;LACOURNEUVE-AUBERVILLIERS;;;
MONTSOULT-MAFFLIERS;LACELLE-ST-CLOUD;;;
CHAPONVAL;LABARRE-ORMESSON;;;
PONT-PETIT;LA-PLAINE-STADE-DE-FRANCE;;;
VIARMES;L'ISLE-ADAM-PARMAIN;;;
TAVERNY;L'ETANG-LA-VILLE;;;
VAUCELLES;JUZIERS;;;
ST-LEU-LA-FORET;JUVISY;;;
EPINAY-VILLETANEUSE;JOUY-EN-JOSAS;;;
BESSANCOURT;JOINVILLE-LE-PONT;;;
GROS-NOYER-ST-PRIX;JAVEL;;;
VILLAINES;IVRY-SUR-SEINE;;;
L'ISLE-ADAM-PARMAIN;ISSY-VAL-DE-SEINE;;;
NOINTEL-MOURS;ISSY;;;
ECOUEN-EZANVILLE;ISSOU-PORCHEVILLE;;;
MERY-SUR-OISE;ISLES-ARMENTIERES-CONGIS;;;
DOMONT;INVALIDES;;;
GROSLAY;IGNY;;;
SARCELLES-ST-BRICE;HOUILLES-CARRIERES-SUR-SEINE;;;
BRUYERE-SUR-OISE;HOUDAN;;;
SEUGY;HERICY;;;
LUZARCHES;HERBLAY;;;
BOUFFEMONT-MOISSELLES;HAUSSMANNST-LAZARE;;;
MERIEL;GUERARD-LA-CELLE-SUR-MORIN;;;
EPLUCHES;GROSLAY;;;
ERMONT-HALTE;GROS-NOYER-ST-PRIX;;;
