longitude;latitude;desserte;station_id;nomgar;nb_trains;tps_mini;tps_moy;tps_maxi;gares_iden;nomgar_triee;longitude;latitude
 2.50755961557;48.770844866;A;45;SUCY-BONNEUIL;6;23;24;24;472;ERAGNY-NEUVILLE; 2.09104525167;49.0185095763
 2.50506818265;48.7530630151;A;46;BOISSY-ST-LEGER;6;27;27;27;473;ST-LEU-LA-FORET; 2.24290216537;49.0152892941
 2.64239702293;48.9758592169;B-K;47;MITRY-CLAYE;10;18;25;27;144;NEUVILLE-UNIVERSITE; 2.07825511472;49.014260613
 2.60342913479;48.9532191316;B;48;VILLEPARISIS MITRY-LE-NEUF;8;23;23;23;145;AEROPORT CHARLES-DE-GAULLE 1; 2.56240981479;49.0089909277
 2.56731618069;48.9443712695;B;49;VERT-GALANT;8;19;19;20;496;AEROPORT CHARLES-DE-GAULLE 1; 2.56240981479;49.0089909277
 2.53446677461;48.9362275507;B;50;SEVRAN-LIVRY;8;17;17;17;497;THIEUX-NANTOUILLET; 2.68046617258;49.0084058024
 2.52476480704;48.9477425225;B;51;SEVRAN-BEAUDOTTES;8;17;19;21;495;MONTIGNY-BEAUCHAMP; 2.19724757063;49.0075263044
 2.51244864841;48.9630960799;B;52;VILLEPINTE;8;21;22;24;494;THUN-LE-PARADIS; 1.92039906841;49.0068240061
 2.5138839549;48.9729082995;B;53;PARC DES EXPOSITIONS;8;23;25;27;493;MEULAN-HARDRICOURT; 1.90136254244;49.0056800708
 2.56240981479;49.0089909277;B;54;AEROPORT CHARLES-DE-GAULLE 1;8;29;31;33;491;AEROPORT CHARLES-DE-GAULLE 2 TGV; 2.57147520713;49.0038189678
 2.57147520713;49.0038189678;B;55;AEROPORT CHARLES-DE-GAULLE 2 TGV;8;31;33;35;492;GROS-NOYER-ST-PRIX; 2.25885332199;48.9970944162
 2.49503530924;48.9320731809;B-K;56;AULNAY-SOUS-BOIS;21;12;14;22;499;CONFLANS-STE-HONORINE; 2.0966351788;48.9962795106
